season,week,player,team,weekly_yards,headshot_url,cumulative_yards
2025,3,Caleb Williams,CHI,298,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/h4qs11kutwiw7whekmyt",715
2025,4,Caleb Williams,CHI,212,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/h4qs11kutwiw7whekmyt",927
2025,6,Caleb Williams,CHI,252,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/h4qs11kutwiw7whekmyt",1179
2025,7,Caleb Williams,CHI,172,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/h4qs11kutwiw7whekmyt",1351
2025,8,Caleb Williams,CHI,285,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/h4qs11kutwiw7whekmyt",1636
2025,9,Caleb Williams,CHI,280,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/h4qs11kutwiw7whekmyt",1916
2025,10,Caleb Williams,CHI,220,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/h4qs11kutwiw7whekmyt",2136
2025,11,Caleb Williams,CHI,193,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/h4qs11kutwiw7whekmyt",2329
2025,12,Caleb Williams,CHI,239,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/h4qs11kutwiw7whekmyt",2568
2025,13,Caleb Williams,CHI,154,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/h4qs11kutwiw7whekmyt",2722
2025,14,Caleb Williams,CHI,186,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/h4qs11kutwiw7whekmyt",2908
2025,15,Caleb Williams,CHI,242,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/h4qs11kutwiw7whekmyt",3150
2025,16,Caleb Williams,CHI,250,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/h4qs11kutwiw7whekmyt",3400
2025,17,Caleb Williams,CHI,330,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/h4qs11kutwiw7whekmyt",3730
2025,18,Caleb Williams,CHI,212,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/h4qs11kutwiw7whekmyt",3942
2025,5,Cam Akers,MIN,32,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/dutj0wamu7giwghnmr4m",32
2025,1,Cam Ward,TEN,112,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/viadutkbvligsopnd2qn",112
2025,2,Cam Ward,TEN,175,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/viadutkbvligsopnd2qn",287
2025,3,Cam Ward,TEN,219,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/viadutkbvligsopnd2qn",506
2025,4,Cam Ward,TEN,108,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/viadutkbvligsopnd2qn",614
2025,5,Cam Ward,TEN,265,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/viadutkbvligsopnd2qn",879
2025,6,Cam Ward,TEN,222,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/viadutkbvligsopnd2qn",1101
2025,7,Cam Ward,TEN,255,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/viadutkbvligsopnd2qn",1356
2025,8,Cam Ward,TEN,259,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/viadutkbvligsopnd2qn",1615
2025,9,Cam Ward,TEN,145,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/viadutkbvligsopnd2qn",1760
2025,11,Cam Ward,TEN,194,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/viadutkbvligsopnd2qn",1954
2025,12,Cam Ward,TEN,256,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/viadutkbvligsopnd2qn",2210
