season,week,player,team,weekly_yards,cumulative_yards
2025,14,Jordan Love,GB,234,3028
2025,15,Jordan Love,GB,276,3304
2025,16,Jordan Love,GB,77,3381
2025,1,Josh Allen,BUF,394,394
2025,2,Josh Allen,BUF,148,542
2025,3,Josh Allen,BUF,213,755
2025,4,Josh Allen,BUF,209,964
2025,5,Josh Allen,BUF,253,1217
2025,6,Josh Allen,BUF,180,1397
2025,8,Josh Allen,BUF,163,1560
2025,9,Josh Allen,BUF,273,1833
2025,10,Josh Allen,BUF,306,2139
2025,11,Josh Allen,BUF,317,2456
2025,12,Josh Allen,BUF,253,2709
2025,13,Josh Allen,BUF,123,2832
2025,14,Josh Allen,BUF,251,3083
2025,15,Josh Allen,BUF,193,3276
2025,16,Josh Allen,BUF,130,3406
2025,17,Josh Allen,BUF,262,3668
2025,16,Josh Johnson,WAS,43,43
2025,17,Josh Johnson,WAS,198,241
2025,18,Josh Johnson,WAS,131,372
2025,7,Joshua Dobbs,NE,12,12
2025,17,Joshua Dobbs,NE,30,42
2025,18,Joshua Dobbs,NE,23,65
2025,1,Justin Fields,NYJ,218,218
2025,2,Justin Fields,NYJ,27,245
2025,4,Justin Fields,NYJ,226,471
2025,5,Justin Fields,NYJ,283,754
2025,6,Justin Fields,NYJ,45,799
2025,7,Justin Fields,NYJ,46,845
2025,8,Justin Fields,NYJ,244,1089
2025,10,Justin Fields,NYJ,54,1143
2025,11,Justin Fields,NYJ,116,1259
2025,1,Justin Herbert,LAC,318,318
2025,2,Justin Herbert,LAC,242,560
2025,3,Justin Herbert,LAC,300,860
2025,4,Justin Herbert,LAC,203,1063
2025,5,Justin Herbert,LAC,166,1229
2025,6,Justin Herbert,LAC,264,1493
2025,7,Justin Herbert,LAC,420,1913
2025,8,Justin Herbert,LAC,227,2140
2025,9,Justin Herbert,LAC,250,2390
2025,10,Justin Herbert,LAC,220,2610
2025,11,Justin Herbert,LAC,81,2691
2025,13,Justin Herbert,LAC,151,2842
2025,14,Justin Herbert,LAC,139,2981
2025,15,Justin Herbert,LAC,210,3191
2025,16,Justin Herbert,LAC,300,3491
2025,17,Justin Herbert,LAC,236,3727
2025,7,Kenny Pickett,LV,8,8
2025,14,Kenny Pickett,LV,97,105
2025,15,Kenny Pickett,LV,64,169
2025,17,Kenny Pickett,LV,16,185
2025,18,Kenny Pickett,LV,3,188
2025,3,Kirk Cousins,ATL,29,29
2025,8,Kirk Cousins,ATL,173,202
2025,11,Kirk Cousins,ATL,48,250
2025,12,Kirk Cousins,ATL,199,449
2025,13,Kirk Cousins,ATL,234,683
2025,14,Kirk Cousins,ATL,162,845
2025,15,Kirk Cousins,ATL,373,1218
2025,16,Kirk Cousins,ATL,197,1415
2025,17,Kirk Cousins,ATL,126,1541
2025,18,Kirk Cousins,ATL,180,1721
2025,1,Kyler Murray,ARI,163,163
2025,2,Kyler Murray,ARI,220,383
2025,3,Kyler Murray,ARI,159,542
2025,4,Kyler Murray,ARI,200,742
2025,5,Kyler Murray,ARI,220,962
2025,1,Lamar Jackson,BAL,209,209
2025,2,Lamar Jackson,BAL,225,434
2025,3,Lamar Jackson,BAL,288,722
2025,4,Lamar Jackson,BAL,147,869
2025,9,Lamar Jackson,BAL,204,1073
2025,10,Lamar Jackson,BAL,176,1249
2025,11,Lamar Jackson,BAL,193,1442
2025,12,Lamar Jackson,BAL,153,1595
2025,13,Lamar Jackson,BAL,246,1841
2025,14,Lamar Jackson,BAL,219,2060
2025,15,Lamar Jackson,BAL,150,2210
2025,16,Lamar Jackson,BAL,101,2311
2025,18,Lamar Jackson,BAL,238,2549
2025,2,Mac Jones,SF,279,279
2025,3,Mac Jones,SF,284,563
2025,5,Mac Jones,SF,342,905
2025,6,Mac Jones,SF,347,1252
2025,7,Mac Jones,SF,152,1404
2025,8,Mac Jones,SF,193,1597
2025,9,Mac Jones,SF,235,1832
2025,10,Mac Jones,SF,319,2151
2025,11,Malik Willis,GB,6,6
2025,12,Malik Willis,GB,7,13
2025,16,Malik Willis,GB,121,134
2025,17,Malik Willis,GB,288,422
2025,3,Marcus Mariota,WAS,207,207
2025,4,Marcus Mariota,WAS,156,363
2025,7,Marcus Mariota,WAS,63,426
2025,8,Marcus Mariota,WAS,213,639
2025,10,Marcus Mariota,WAS,213,852
2025,11,Marcus Mariota,WAS,213,1065
2025,13,Marcus Mariota,WAS,294,1359
2025,14,Marcus Mariota,WAS,30,1389
2025,15,Marcus Mariota,WAS,211,1600
2025,16,Marcus Mariota,WAS,95,1695
2025,2,Mason Rudolph,PIT,12,12
2025,11,Mason Rudolph,PIT,127,139
2025,12,Mason Rudolph,PIT,171,310
2025,18,Matt Haack,ARI,28,28
2025,1,Matthew Stafford,LA,245,245
2025,2,Matthew Stafford,LA,298,543
2025,3,Matthew Stafford,LA,196,739
2025,4,Matthew Stafford,LA,375,1114
2025,5,Matthew Stafford,LA,389,1503
2025,6,Matthew Stafford,LA,181,1684
2025,7,Matthew Stafford,LA,182,1866
2025,9,Matthew Stafford,LA,281,2147
2025,10,Matthew Stafford,LA,280,2427
2025,11,Matthew Stafford,LA,130,2557
2025,12,Matthew Stafford,LA,273,2830
2025,13,Matthew Stafford,LA,243,3073
2025,14,Matthew Stafford,LA,281,3354
2025,15,Matthew Stafford,LA,368,3722
2025,16,Matthew Stafford,LA,457,4179
2025,17,Matthew Stafford,LA,269,4448
2025,18,Matthew Stafford,LA,259,4707
2025,3,Max Brosmer,MIN,29,29
2025,8,Max Brosmer,MIN,13,42
2025,13,Max Brosmer,MIN,126,168
2025,16,Max Brosmer,MIN,52,220
2025,17,Max Brosmer,MIN,51,271
2025,18,Max Brosmer,MIN,57,328
2025,1,Michael Penix Jr.,ATL,298,298
2025,2,Michael Penix Jr.,ATL,135,433
2025,3,Michael Penix Jr.,ATL,172,605
2025,4,Michael Penix Jr.,ATL,313,918
2025,6,Michael Penix Jr.,ATL,250,1168
2025,7,Michael Penix Jr.,ATL,241,1409
2025,9,Michael Penix Jr.,ATL,221,1630
2025,10,Michael Penix Jr.,ATL,177,1807
2025,11,Michael Penix Jr.,ATL,175,1982
2025,2,Mitchell Trubisky,BUF,32,32
2025,8,Mitchell Trubisky,BUF,22,54
2025,18,Mitchell Trubisky,BUF,259,313
2025,14,Nick Mullens,JAX,3,3
2025,18,Nick Mullens,JAX,16,19
2025,1,Patrick Mahomes,KC,258,258
2025,2,Patrick Mahomes,KC,187,445
2025,3,Patrick Mahomes,KC,224,669
2025,4,Patrick Mahomes,KC,270,939
2025,5,Patrick Mahomes,KC,318,1257
2025,6,Patrick Mahomes,KC,257,1514
2025,7,Patrick Mahomes,KC,286,1800
2025,8,Patrick Mahomes,KC,299,2099
2025,9,Patrick Mahomes,KC,250,2349
2025,11,Patrick Mahomes,KC,276,2625
2025,12,Patrick Mahomes,KC,352,2977
2025,13,Patrick Mahomes,KC,261,3238
2025,14,Patrick Mahomes,KC,160,3398
2025,15,Patrick Mahomes,KC,189,3587
2025,15,Philip Rivers,IND,120,120
2025,16,Philip Rivers,IND,277,397
2025,17,Philip Rivers,IND,147,544
2025,7,Quinn Ewers,MIA,53,53
2025,16,Quinn Ewers,MIA,260,313
2025,17,Quinn Ewers,MIA,172,485
2025,18,Quinn Ewers,MIA,137,622
2025,18,Rigoberto Sanchez,IND,16,16
2025,14,Riley Leonard,IND,145,145
2025,18,Riley Leonard,IND,270,415
2025,1,Russell Wilson,NYG,168,168
2025,2,Russell Wilson,NYG,450,618
2025,3,Russell Wilson,NYG,160,778
2025,4,Russell Wilson,NYG,8,786
2025,10,Russell Wilson,NYG,45,831
2025,1,Sam Darnold,SEA,150,150
2025,2,Sam Darnold,SEA,295,445
2025,3,Sam Darnold,SEA,218,663
2025,4,Sam Darnold,SEA,242,905
2025,5,Sam Darnold,SEA,341,1246
2025,6,Sam Darnold,SEA,295,1541
2025,7,Sam Darnold,SEA,213,1754
2025,9,Sam Darnold,SEA,330,2084
2025,10,Sam Darnold,SEA,178,2262
2025,11,Sam Darnold,SEA,279,2541
2025,12,Sam Darnold,SEA,244,2785
2025,13,Sam Darnold,SEA,128,2913
2025,14,Sam Darnold,SEA,249,3162
2025,15,Sam Darnold,SEA,271,3433
2025,16,Sam Darnold,SEA,270,3703
2025,17,Sam Darnold,SEA,147,3850
2025,18,Sam Darnold,SEA,198,4048
2025,18,Shane Buechele,KC,88,88
2025,11,Shedeur Sanders,CLE,47,47
2025,12,Shedeur Sanders,CLE,209,256
2025,13,Shedeur Sanders,CLE,149,405
2025,14,Shedeur Sanders,CLE,364,769
2025,15,Shedeur Sanders,CLE,177,946
2025,16,Shedeur Sanders,CLE,157,1103
2025,17,Shedeur Sanders,CLE,186,1289
2025,18,Shedeur Sanders,CLE,111,1400
2025,1,Spencer Rattler,NO,214,214
2025,2,Spencer Rattler,NO,207,421
2025,3,Spencer Rattler,NO,218,639
2025,4,Spencer Rattler,NO,126,765
2025,5,Spencer Rattler,NO,225,990
2025,6,Spencer Rattler,NO,227,1217
2025,7,Spencer Rattler,NO,233,1450
2025,8,Spencer Rattler,NO,136,1586
2025,15,Tanner McKee,PHI,33,33
2025,18,Tanner McKee,PHI,241,274
2025,5,Taysom Hill,NO,19,19
2025,16,Taysom Hill,NO,38,57
2025,12,Teddy Bridgewater,TB,62,62
2025,1,Trevor Lawrence,JAX,178,178
2025,2,Trevor Lawrence,JAX,271,449
2025,3,Trevor Lawrence,JAX,222,671
2025,4,Trevor Lawrence,JAX,174,845
2025,5,Trevor Lawrence,JAX,221,1066
2025,6,Trevor Lawrence,JAX,258,1324
2025,7,Trevor Lawrence,JAX,296,1620
2025,9,Trevor Lawrence,JAX,220,1840
2025,10,Trevor Lawrence,JAX,158,1998
2025,11,Trevor Lawrence,JAX,153,2151
2025,12,Trevor Lawrence,JAX,256,2407
2025,13,Trevor Lawrence,JAX,229,2636
2025,14,Trevor Lawrence,JAX,244,2880
2025,15,Trevor Lawrence,JAX,330,3210
2025,16,Trevor Lawrence,JAX,279,3489
2025,17,Trevor Lawrence,JAX,263,3752
2025,18,Trevor Lawrence,JAX,255,4007
2025,5,Trey Lance,LAC,44,44
2025,11,Trey Lance,LAC,37,81
2025,13,Trey Lance,LAC,9,90
2025,18,Trey Lance,LAC,136,226
2025,1,Tua Tagovailoa,MIA,114,114
2025,2,Tua Tagovailoa,MIA,315,429
2025,3,Tua Tagovailoa,MIA,146,575
2025,4,Tua Tagovailoa,MIA,177,752
2025,5,Tua Tagovailoa,MIA,256,1008
2025,6,Tua Tagovailoa,MIA,205,1213
2025,7,Tua Tagovailoa,MIA,100,1313
2025,8,Tua Tagovailoa,MIA,205,1518
2025,9,Tua Tagovailoa,MIA,261,1779
2025,10,Tua Tagovailoa,MIA,173,1952
