Rk,Player,Age,Team,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Succ%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,Sk%,NY/A,ANY/A,4QC,GWD,Awards,Player-additional
39,Gary Danielson,32,DET,QB,10,0,,59,113,52.2,720,7,6.2,4,3.5,37,42.1,54,6.4,6.02,12.2,72.0,78.0,8,68,6.61,5.39,5.06,0,1,,DaniGa00
40,Jim Hart,39,STL,QB,5,3,1-2-0,50,91,54.9,592,4,4.4,8,8.8,27,41.3,39,6.5,3.43,11.8,118.4,53.0,13,99,12.50,4.74,2.05,1,1,,HartJi00
41,Mike Moroski,26,ATL,QB,16,2,1-1-0,45,70,64.3,575,2,2.9,4,5.7,27,55.4,50,8.2,6.21,12.8,35.9,75.6,4,41,5.41,7.22,5.32,1,0,,MoroMi00
42,Tony Eason,24,NWE,QB,16,4,2-2-0,46,95,48.4,557,1,1.1,5,5.3,24,35.1,35,5.9,3.71,12.1,34.8,48.4,16,139,14.41,3.77,1.92,0,0,,EasoTo00
43,Tommy Kramer,28,MIN,QB,3,3,2-1-0,55,82,67.1,550,3,3.7,4,4.9,30,55.3,49,6.7,5.24,10.0,183.3,77.8,3,27,3.53,6.15,4.74,0,0,,KramTo00
44,Jerry Golsteyn,29,TAM,QB,5,3,0-3-0,47,97,48.5,535,0,0.0,2,2.1,22,37.5,52,5.5,4.59,11.4,107.0,56.9,7,52,6.73,4.64,3.78,0,0,,GolsJe00
45,David Woodley,25,MIA,QB,5,5,3-2-0,43,89,48.3,528,3,3.4,4,4.5,21,32.3,64,5.9,4.58,12.3,105.6,59.6,10,80,10.10,4.53,3.31,0,0,,WoodDa00
46,Matt Kofler,24,BUF,QB,16,0,,35,61,57.4,440,4,6.6,3,4.9,20,42.3,28,7.2,6.31,12.6,27.5,81.3,10,85,14.08,5.00,4.23,0,0,,KoflMa00
47,Don Strock,33,MIA,QB,15,2,2-0-0,34,52,65.4,403,4,7.7,1,1.9,20,49.1,47,7.8,8.42,11.9,26.9,106.5,3,30,5.45,6.78,7.42,0,1,,StroDo00
48,Paul McDonald,25,CLE,QB,16,2,1-1-0,32,68,47.1,341,1,1.5,4,5.9,16,29.7,27,5.0,2.66,10.7,21.3,42.6,6,38,8.11,4.09,1.93,1,1,,McDoPa00
49,Todd Blackledge,22,KAN,QB,4,0,,20,34,58.8,259,3,8.8,0,0.0,14,42.1,43,7.6,9.38,13.0,64.8,112.3,4,50,10.53,5.50,7.08,0,0,,BlacTo00
50,Pat Ryan,28,NYJ,QB,16,0,,21,40,52.5,259,2,5.0,2,5.0,12,46.3,36,6.5,5.23,12.3,16.2,68.6,1,3,2.44,6.24,5.02,0,0,,RyanPa00
51,Mark Herrmann,24,BAL,QB,2,1,0-1-0,18,36,50.0,256,0,0.0,3,8.3,7,32.6,35,7.1,3.36,14.2,128.0,38.7,7,62,16.28,4.51,1.37,0,0,,HerrMa00
52,Gary Kubiak,22,DEN,QB,4,1,1-0-0,12,22,54.5,186,1,4.5,1,4.5,7,33.3,78,8.5,7.32,15.5,46.5,79.0,2,20,8.33,6.92,5.88,0,0,,KubiGa00
53,Joe Pisarcik,31,PHI,QB,5,0,,16,34,47.1,172,1,2.9,0,0.0,6,28.9,33,5.1,5.65,10.8,34.4,72.2,4,30,10.53,3.74,4.26,0,0,,PisaJo00
54,Gary Hogeboom,25,DAL,QB,6,0,,11,17,64.7,161,1,5.9,1,5.9,10,58.8,24,9.5,8.00,14.6,26.8,90.6,0,0,0.00,9.47,8.00,0,0,,HogeGa00
55,David Whitehurst,28,GNB,QB,4,0,,18,35,51.4,149,0,0.0,2,5.7,8,29.7,19,4.3,1.69,8.3,37.3,38.9,2,16,5.41,3.59,1.16,0,1,,WhitDa02
56,Jeff Kemp,24,RAM,QB,4,0,,12,25,48.0,135,1,4.0,0,0.0,6,37.0,21,5.4,6.20,11.3,33.8,77.9,2,12,7.41,4.56,5.30,0,0,,KempJe00
57,Phil Simms,28,NYG,QB,2,0,,7,13,53.8,130,0,0.0,1,7.7,5,43.8,36,10.0,6.54,18.6,65.0,56.6,3,35,18.75,5.94,3.13,0,0,,SimmPh00
58,Mark Malone,25,PIT,QB,2,0,,9,20,45.0,124,1,5.0,2,10.0,7,42.9,38,6.2,2.70,13.8,62.0,42.5,1,11,4.76,5.38,2.05,0,0,,MaloMa00
59,Wade Wilson,24,MIN,QB,1,1,1-0-0,16,28,57.1,124,1,3.6,2,7.1,6,35.5,36,4.4,1.93,7.8,124.0,50.3,3,22,9.68,3.29,1.03,1,1,,WilsWa00
60,Marcus Allen,23,RAI,RB,16,15,,4,7,57.1,111,3,42.9,0,0.0,4,40.0,43,15.9,24.43,27.8,6.9,141.4,3,26,30.00,8.50,14.50,0,0,,AlleMa00
61,Guy Benjamin,28,SFO,QB,4,0,,7,12,58.3,111,1,8.3,0,0.0,2,33.3,73,9.3,10.92,15.9,27.8,117.0,0,0,0.00,9.25,10.92,0,0,,BenjGu00
62,Walter Payton,30,CHI,RB,16,16,,3,6,50.0,95,3,50.0,2,33.3,3,50.0,56,15.8,10.83,31.7,5.9,95.8,0,0,0.00,15.83,10.83,0,0,PB,PaytWa00
63,Terry Bradshaw,35,PIT,QB,1,1,1-0-0,5,8,62.5,77,2,25.0,0,0.0,4,62.5,24,9.6,14.63,15.4,77.0,133.9,0,0,0.00,9.63,14.63,0,0,,BradTe00
64,Matt Suhey,25,CHI,FB,16,13,,1,1,100.0,74,1,100.0,0,0.0,1,100.0,74,74.0,94.00,74.0,4.6,158.3,0,0,0.00,74.00,94.00,0,0,,SuheMa00
65,Mike Kerrigan,23,NWE,QB,1,0,,6,14,42.9,72,0,0.0,1,7.1,4,35.7,19,5.1,1.93,12.0,72.0,29.5,0,0,0.00,5.14,1.93,0,0,,KerrMi00
66,Rusty Lisch,27,STL,QB,4,0,,6,13,46.2,66,1,7.7,2,15.4,4,25.0,26,5.1,-0.31,11.0,16.5,47.8,3,27,18.75,2.44,-1.94,0,0,,LiscRu00
67,Eddie Lee Ivery,26,GNB,RB,8,8,,2,2,100.0,50,0,0.0,0,0.0,2,100.0,35,25.0,25.00,25.0,6.3,118.7,0,0,0.00,25.00,25.00,0,0,,IverEd00
68,Jeff Komlo,27,TAM,QB,2,0,,4,8,50.0,49,0,0.0,1,12.5,2,36.4,17,6.1,0.50,12.3,24.5,29.7,3,25,27.27,2.18,-1.91,0,0,,KomlJe00
69,Carlos Carson,25,KAN,WR,16,16,,1,1,100.0,48,1,100.0,0,0.0,1,100.0,48,48.0,68.00,48.0,3.0,158.3,0,0,0.00,48.00,68.00,0,0,PB,CarsCa00
70,Mark Clayton,22,MIA,WR,14,0,,1,1,100.0,48,1,100.0,0,0.0,1,100.0,48,48.0,68.00,48.0,3.4,158.3,0,0,0.00,48.00,68.00,0,0,,ClayMa00
71,Art Monk,26,WAS,WR,12,11,,1,1,100.0,46,0,0.0,0,0.0,1,100.0,46,46.0,46.00,46.0,3.8,118.7,0,0,0.00,46.00,46.00,0,0,,MonkAr00
72,Tony Nathan,27,MIA,RB,16,12,,3,4,75.0,46,0,0.0,0,0.0,2,50.0,22,11.5,11.50,15.3,2.9,112.5,0,0,0.00,11.50,11.50,0,0,,NathTo00
