Rk,Player,Age,Team,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,Sk%,NY/A,ANY/A,4QC,GWD,Awards,Player-additional
50,Neil Graff,25,NWE,QB,11,2,0-2-0,18,35,51.4,221,2,5.7,3,8.6,31,6.3,3.60,12.3,20.1,54.6,4,34,10.26,4.79,2.36,0,0,,GrafNe00
51,Larry Cipa,24,NOR,QB,4,1,0-1-0,14,37,37.8,182,1,2.7,3,8.1,28,4.9,1.81,13.0,45.5,29.3,3,14,7.50,4.20,1.33,0,0,,CipaLa00
52,J.J. Jones,23,NYJ,QB,7,1,0-1-0,16,57,28.1,181,1,1.8,5,8.8,20,3.2,-0.42,11.3,25.9,9.6,7,64,10.94,1.83,-1.38,0,0,,JoneJ.00
53,Don Milan,26,GNB,QB,7,1,0-1-0,15,32,46.9,181,1,3.1,1,3.1,56,5.7,4.88,12.1,25.9,62.1,7,44,17.95,3.51,2.87,0,0,,MilaDo00
54,Bobby Douglass,28,2TM,QB,4,1,0-1-0,15,47,31.9,140,0,0.0,3,6.4,34,3.0,0.11,9.3,35.0,14.6,6,56,11.32,1.58,-0.96,0,0,,DougBo00
54,Bobby Douglass,28,CHI,QB,1,1,0-1-0,8,20,40.0,87,0,0.0,2,10.0,34,4.4,-0.15,10.9,87.0,14.0,2,13,9.09,3.36,-0.73,0,0,,DougBo00
54,Bobby Douglass,28,SDG,QB,3,0,,7,27,25.9,53,0,0.0,1,3.7,22,2.0,0.30,7.6,17.7,24.2,4,43,12.90,0.32,-1.13,0,0,,DougBo00
55,Marty Domres,28,BAL,QB,14,0,,8,10,80.0,123,1,10.0,0,0.0,32,12.3,14.30,15.4,8.8,151.2,0,0,0.00,12.30,14.30,0,0,,DomrMa00
56,Bob Lee,29,MIN,QB,4,0,,5,14,35.7,103,2,14.3,1,7.1,33,7.4,7.00,20.6,25.8,72.3,1,6,6.67,6.47,6.13,0,0,,LeexBo00
57,Clint Longley,23,DAL,QB,4,1,1-0-0,7,23,30.4,102,1,4.3,1,4.3,23,4.4,3.35,14.6,25.5,42.3,3,29,11.54,2.81,1.85,0,0,,LongCl00
58,Carl Summerell,24,NYG,QB,3,0,,7,16,43.8,98,0,0.0,2,12.5,41,6.1,0.50,14.0,32.7,24.5,2,24,11.11,4.11,-0.89,0,0,,SummCa00
59,Bobby Scott,26,NOR,QB,1,0,,8,17,47.1,96,0,0.0,1,5.9,33,5.6,3.00,12.0,96.0,40.3,1,12,5.56,4.67,2.17,0,0,,ScotBo00
60,Joe Theismann,26,WAS,QB,14,0,,10,22,45.5,96,1,4.5,3,13.6,30,4.4,-0.86,9.6,6.9,33.7,2,18,8.33,3.25,-1.54,0,0,,TheiJo00
